ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO21N000534,행사,행사,고싸움놀이축제,광주광역시,남구,2915512300,칠석동,2915512300,칠석동,291553161001,광주광역시 남구 고싸움로 2,61758,다라395751,35.0697438137216,126.837516735818,고싸움놀이테마파크,20210101,20211231,국가무형문화재 제33호 고싸움놀이시연,광주칠석고싸움놀이보존회,광주칠석고싸움놀이보존회,,0626072315,http://www.gossaum.com,,20220228,6290000,광주광역시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000535,행사,행사,서창만드리풍년제,광주광역시,서구,2914012600,세하동,2914012600,세하동,291403009013,광주광역시 서구 눌재로 420,62076,다라389802,35.1152353658832,126.830042435455,서창한옥문화관 앞 (세동마을 들녘),20210101,20211231,"들노래재현 만드리 재현, 문화예술공연 등",서창만드리보존회,광주광역시 서구,,0623607030,https://www.seogu.gwangju.kr/culture/index.9is?contentUid=4028484950895ab20151193a777e115b,,20220228,6290000,광주광역시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000536,행사,행사,광주미디어아트페스티벌,광주광역시,동구,2911013100,금남로1가,2911013100,금남로1가,291103009019,광주광역시 동구 금남로 245,61475,다라470838,35.148358093992,126.918730053407,문화전당 일원,20211005,20211010,"미디어아트 전시, 미디어아트 마켓, 해커톤 등",광주광역시,"광주광역시, 국립아시아문화전당",,0626133671,https://www.facebook.com/gwangjumediaartfestival?form=MY01SV&OCID=MY01SV,,20220228,6290000,광주광역시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000537,행사,행사,대부포도축제,경기도,안산시 단원구,4127311100,대부북동,4127361000,대부동,,,,다사173197,37.2729451115631,126.567847292445,구)바다향기테마파크,20190907,20190908,"대부포도 홍보 및 직거래, 문화공연 등",안산시,대부도포도축제위원회,,0314812317,https://tourinfo.ansan.go.kr/main.do,대부포도,20220228,3930000,경기도 안산시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000538,행사,행사,청소년어울림마당 3회차,경기도,안산시 상록구,4127110800,성포동,4127110800,성포동,412713190032,경기도 안산시 상록구 삼일로 696,15293,다사427254,37.3262514677306,126.853269127136,상록청소년수련관,20190928,20190928,별이 빛나는 밤에,안산시,안산시청소년재단 상록청소년수련관,,0314121763,www.ansanyouth.or.kr,,20220228,3930000,경기도 안산시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000539,행사,행사,제7회 상록수문화제,경기도,안산시 상록구,4127110400,본오동,4127110400,본오동,412714370208,경기도 안산시 상록구 샘골서길 64,15539,다사435224,37.2996184754943,126.862764913936,"최용신기념관,상록수공원",20191026,20191026,"공연,전시,체험 등",안산시,안산시,국가보훈처,0314813040,https://www2.ansan.go.kr/choiyongshin/main/main.do,,20220228,3930000,경기도 안산시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000540,행사,행사,청소년어울림마당 4회차,경기도,안산시 상록구,4127110800,성포동,4127110800,성포동,412713190032,경기도 안산시 상록구 삼일로 696,15293,다사427254,37.3262514677306,126.853269127136,안산대학교,20191026,20191026,잡아드림 연계,안산시,안산시청소년재단 상록청소년수련관,,0314121763,www.ansanyouth.or.kr,,20220228,3930000,경기도 안산시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000541,행사,행사,청소년어울림마당 5회차,경기도,안산시 상록구,4127110800,성포동,4127110800,성포동,412713190032,경기도 안산시 상록구 삼일로 696,15293,다사427254,37.3262514677306,126.853269127136,상록청소년수련관,20191102,20191102,폐막,안산시,안산시청소년재단 상록청소년수련관,,0314121763,www.ansanyouth.or.kr,,20220228,3930000,경기도 안산시,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000542,행사,행사,2021 보은대추축제,충청북도,보은군,4372025030,보은읍 성주리,4372025031,보은읍,437204523062,충청북도 보은군 보은읍 군청길 38,28937,라바205324,36.4897036279608,127.729748179994,온라인축제,20211015,20211031,"대추 및 농특산물 전시판매, 랜선 콘서트, 유튜브 홈쇼핑 등",충청북도 보은군,보은군 축제추진위원회,,0435403393,http://www.boeunjujube.com/,,20220228,4420000,충청북도 보은군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
KC488PO21N000543,행사,행사,2021 보은대추축제,충청북도,보은군,4372025030,보은읍 성주리,4372025031,보은읍,437204523062,충청북도 보은군 보은읍 군청길 38,28937,라바205324,36.4897036279608,127.729748179994,현장축제,20211015,20211024,"대추 및 농특산물 전시판매, 랜선 콘서트, 유튜브 홈쇼핑 등",충청북도 보은군,보은군 축제추진위원회,,0435403393,http://www.boeunjujube.com/,,20220228,4420000,충청북도 보은군,20220228133805,문화체육관광부,KC_488_WNTY_CLTFSTVL_2021,20220228
