ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO20N000001,행사,행사,블루거제페스티벌,경상남도,거제시,4831010200,장승포동,4831051000,장승포동,483103337039,경상남도 거제시 장승로 145 (장승포동),53322,마라118531,34.86717826,128.7233592,장승포 일원,20190731,20190802,우수 예술인 발굴과 지역 문화예술의 저변 확대를 위해 개최,거제문화예술회관,거제문화예술회관,,055-680-1000,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000002,행사,행사,바다로 세계로,경상남도,거제시,4831010900,고현동,4831058000,고현동,483103337006,경상남도 거제시 계룡로 125 (고현동),53257,마라024545,34.88052883,128.6208143,거제시 일원,20190801,20190804,스포츠와 함께하는 여름축제로 매년 7월말에서 8월초순 경에 개최되는 한려수도 해양축제 “바다로 세계로”는 천혜의 관광자원과 문화예술공연을 함께 즐길 수 있는 전국 최대규모의 해양축제.,㈜엠비씨경남,경상남도 거제시 관광마케팅과,,055-639-4173,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000003,행사,행사,남부면 수국축제,,,,,,,,,,마라016381,34.73225056,128.6101227,매물도 여객선 주차장,20190629,20190629,남부면에서 20여년 동안 가꾸어 온 아름다운 수국꽃을 시민 및  관광객들에게 선물을 선사하다,경상남도 거제시 남부면,경상남도 거제시 남부면,,055-639-6531,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000004,행사,행사,희망달서 큰잔치,대구광역시,달서구,2729011000,장기동,2729056800,장기동,272904241165,대구광역시 달서구 문화회관길 160 (장기동),42699,라마923611,35.84285866,128.5221241,웃는얼굴아트센터,20201016,20201017,"희망가득체험부스, 다문화 어울림제, 축하 콘서트 등",(재)달서문화재단+대구전업미술가협회+대구사회복지공동모금회,(재)달서문화재단,"달서구, 달서구의회",053-584-9711,http://www.dscf.okr.kr,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000005,행사,행사,와룡민속한마당,대구광역시,달서구,2729010800,이곡동,,,272903147001,대구광역시 달서구 계대동문로 77 (이곡동),42611,라마903626,35.85575426,128.500776,와룡아래공원,20200620,20200620,"민속씨름대회 및 동 대항전, 민속놀이체험마당, 축하콘서트, 먹거리 장터 등",성서지역발전회+달서구체육회,성서지역발전회+달서구체육회,"달서구, 달서구의회",053-667-2174,,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000006,행사,행사,두류문화한마당,대구광역시,달서구,2729010200,두류동,,,272903147026,대구광역시 달서구 야외음악당로 180 (두류동),42672,라마953621,35.85115165,128.5561993,코오롱야외음악당,20200522,20200522,"왕벚꽃 부스, 주민 노래자랑, 민속놀이마당 등",두류벚꽃축제추진위원회,두류벚꽃축제추진위원회,"달서구, 달서구의회",053-667-2174,,,20200304,3470000,대구광역시 달서구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000007,행사,행사,신창동 어울림축제,광주광역시,광산구,2920011800,신창동,2920070000,신창동,292003163033,광주광역시 광산구 왕버들로 291 (신창동),62251,다라400891,35.1956384,126.840969,신창동 공방의 거리,20171028,20171028,"주민운동회, 주민회의, 노래자랑, 나눔장터, 프리마켓 등",신창동 마을축제 추진위원회,광주광역시 광산구 신창동,,,,,20190101,3630000,광주광역시 광산구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000008,행사,행사,제2회 하남동 도농공 한울타리 어울림축제,광주광역시,광산구,2920012500,하남동,2920064000,하남동,292004289687,광주광역시 광산구 하남대로54번안길 133 (하남동),62336,다라362872,35.178175,126.7999659,경암근린공원,20171028,20171028,"기념식, 문화공연, 주민노래자랑, 플리마켓 등",하남동 한울타리 어울림축제 추진위원회,광주광역시 광산구 하남동,,,,,20190101,3630000,광주광역시 광산구,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000009,행사,행사,양지암축제,경상남도,거제시,4831010100,능포동,4831053000,능포동,4.83103E+11,경상남도 거제시 장승포해안로 274-24,53313,,,,양지암공원,20190413,20190413,푸른바다를 두른 양지암과 조각품의 아름다움에 취하다,양지암축제추진위원회,양지암축제추진위원회,,055-639-6793,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
KC488PO20N000010,행사,행사,산방산삼월삼짇날축제,경상남도,거제시,4831035024,둔덕면,4831035000,둔덕면,4.83105E+11,경상남도 거제시 둔덕면 산방산길 121-13,53280,,,,산방산 임도,20190407,20190407,따뜻한 봄기운이 감도는 삼월 삼짇날 산방산에서 열리는 축제,경상남도 거제시 둔덕면번영회,경상남도 거제시 둔덕면번영회,,055-639-6592,,,20200213,5370000,경상남도 거제시,20200918,문화체육관광부,KC_488_WNTY_CLTFSTVL_2020,20200519
