ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ADSTRD_CD,ADSTRD_NM,RDNMADR_CD,RDNMADR_NM,ZIP_NO,GID_CD,FCLTY_LO,FCLTY_LA,OPMTN_PLACE_NM,FSTVL_BEGIN_DE,FSTVL_END_DE,FSTVL_CN,MNNST_NM,AUSPC_INSTT_NM,SUPRT_INSTT_NM,TEL_NO,HMPG_ADDR,RELATE_INFO_CN,데이터기준일자,PROVD_INSTT_CD,PROVD_INSTT_NM,LAST_CHG_DE,ORIGIN_NM,FILE_NM,BASE_DE
KC488PO19N000001,행사,행사,제13회 영동포도축제,충청북도,영동군,4374025027,영동읍,4374025000,영동읍,437403243040,충청북도 영동군 영동읍 영동황간로 122,29150,라마253963,36.1642048,127.7819752,영동군 영동읍 영동군체육관 일원,20170824,20170827,포도축제,"""(재)영동축제관광재단, (사)영동포도연합회""","""충청북도 영동군청, 영동군축제추진위원회""","""충청북도, 메이빌 농산물공동브랜드""",043-745-8918,www.ydft.kr,"""포도따기, 포도밟기 등 체험, 농특산물 판매, 전시, 추풍령가요제, 영동포도마라톤 대회""",20180223,4440000,충청북도 영동군,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000002,행사,행사,제50회 영동난계국악축제,충청북도,영동군,4374025028,영동읍,4374025000,영동읍,437403243054,충청북도 영동군 영동읍 학산영동로 1244-1,29149,라마246974,36.1736274,127.7739921,"""영동군 영동읍 영동천 일원(하상주차장, 난계사 등)""",20170921,20170924,국악축제,"""(재)영동축제관광재단, (사)난계기념사업회""","""충청북도 영동군청, 영동군축제추진위원회""","""문화체육관광부, 충청북도, 국립국악원, 한국관광공사, 한국지역진흥재단, 한국문황예술위원회""",043-745-8917,www.ydft.kr,"""어가행렬, 종묘제례, 국악기제작 및 연주체험, 퓨전국악공연, 영동와인축제와 연계""",20180223,4440000,충청북도 영동군,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000003,행사,행사,제8회 대한민국와인축제,충청북도,영동군,4374025028,영동읍,4374025000,영동읍,437403243054,충청북도 영동군 영동읍 학산영동로 1244-1,29149,라마246974,36.1736274,127.7739921,영동군 영동읍 영동천일원(하상주차장),20170921,20170924,와인축제,"""(재)영동축제관광재단, 영동와인연구회""","""충청북도 영동군청, 영동군축제추진위원회""","""한국농수산식품유통공사, 충청북도, 영동군 농산물공동브랜드""",043-745-8914,www.ydft.kr,"""와인전시, 시음행사, 와인판매, 난계국악축제와 연계""",20180223,4440000,충청북도 영동군,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000004,행사,행사,2017 영동곶감축제,충청북도,영동군,4374025028,영동읍,4374025000,영동읍,437403243054,충청북도 영동군 영동읍 학산영동로 1244-1,29149,라마246974,36.1736274,127.7739921,영동군 영동읍 영동천일원(하상주차장),20171215,20171217,곶감축제,"""(재)영동축제관광재단, 영동곶감연합회""","""충청북도 영동군청, 영동군축제추진위원회""","""충청북도, 메이빌 농산물공동브랜드""",043-745-8918,www.ydft.kr,"""곶감따기, 곶감 시식, 판매, 공연 프로그램""",20180223,4440000,충청북도 영동군,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000005,행사,행사,제22회 과천축제,경기도,과천시,4129010700,중앙동,4129051000,중앙동,412903195051,경기도 과천시 통영로 5,13807,다사548366,37.4279091,126.9895045,과천청사 잔디마당 등 과천시 일원,20180913,20180916,"""문화예술 퍼포먼스, 시민참여 프로그램, 플리마켓 등""",(재)과천축제,과천시,한국마사회 등,02-504-0945,http://www.gcfest.or.kr,"""서울대공원,서울랜드,과천과학관""",20180731,3970000,경기도 과천시,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000006,행사,행사,제11회 마포나루새우젓축제,서울특별시,마포구,1144012500,성산동,1144073000,성산제2동,114403113018,서울특별시 마포구 월드컵로 207,03953,다사471518,37.5642503,126.901951,서울월드컵공원 평화의 광장 일원,20181019,20181021,"""개장식, 기념식, 문화행사, 체험행사, 판매행사""",마포문화원,서울특별시 마포구,"""S-oil, 우리은행, KB손해보험""",02-3153-8352,,,20180220,3130000,서울특별시 마포구,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000007,행사,행사,함창명주페스티벌,경상북도,상주시,4725025025,함창읍,4725025000,함창읍,472503018045,경상북도 상주시 함창읍 무운로 1593,37110,라바590422,36.576525,128.160039,명주테마공원,20180907,20180909,"""누에고치 체험, 천연염색 등""","""상주슬로시티주민협의회, 명주잠업영농조합법인""",경상북도 상주시청,경상북도/상주시/한국슬로시티본부,054-531-9763,,잠사곤충사업장,20180221,5110000,경상북도 상주시,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000008,행사,행사,상주 이야기축제,경상북도,상주시,4725010700,남성동,4725052000,남원동,472503311032,경상북도 상주시 상산로 223,37211,라바590239,36.410959,128.158961,상주 북천시민공원일원,20181012,20181014,다양한 이야기 체험 및 전시 공연 등,상주시축제추진위원회,경상북도 상주시청,경상북도/상주시,054-537-7108,http://www.sangjustory.com/,,20180221,5110000,경상북도 상주시,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000009,행사,행사,정의공주와 함께 하는 도봉 한글잔치,서울특별시,도봉구,1132010600,방학동,1132070000,방학제2동,113204127075,서울특별시 도봉구 도당로13마길 5,01358,다사588631,37.666670,127.033750,방학동 원당샘공원,20151009,20151009,"""문화예술공연, 백일장 및 사생대회, 전통놀이체험 등""",서울특별시 도봉구청,"""서울특별시 도봉구청, 도봉문화원""",,02-905-4026,,,20180501,3090000,서울특별시 도봉구,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
KC488PO19N000010,행사,행사,정월대보름 큰잔치,서울특별시,도봉구,1132010800,도봉동,1132052200,도봉제2동,113203109006,서울특별시 도봉구 마들로 684-20,01330,다사601635,37.6707774,127.0483768,"""도봉구청 광장, 중랑천변""",20150305,20150305,"""길놀이, 풍물놀이, 소원지 붙이기, 달집태우기, 민속놀이 체험마당,청소년 동아리 프로그램 공연 및 솟대외줄타기 공연""",서울특별시 도봉구청,서울특별시 도봉구청,,02-2091-2254,,,20180501,3090000,서울특별시 도봉구,20191113,문화체육관광부,KC_488_WNTY_CLTFSTVL_2019,20191125
